text,cue_pos,experiencer_pos
Pharmacy Middlemen Will Take Their Turn in the Congressional Hot Seat,Take,Pharmacy Middlemen
Senate Democrats Show What Real Confirmation Obstruction Looks Like,Obstruction,Senate Democrats
Quarter of Brits lose sleep over debt,lose sleep,
Dear Wives: Publicly Criticizing Your Husband Makes You Look Horrible,Horrible,
CNN Hits Harris for Repeatedly Dodging Questions: ‘Could Be a Big Problem for Her’,Hits,CNN
Devin Nunes’ 2020 Reelection Bid May Have Just Gotten a Lot Easier,,Devin Nunes
The Rape Culture That Fueled Steubenville Still Thrives Online. Here’s Why That Matters.,Rape Culture,Steubenville
Plunging response rates to household surveys worry policymakers,worry,policymakers
Saudi Arabia Plans To Let Women Leave The Country Without The Permission Of A Man,Plans,Saudi Arabia
Divers Set World Record For Cleaning Trash From Ocean Floor,Record,Divers
"Russian Police Arrest More Than 1,000 Protesters In Moscow",Arrest,Russian Police
Iran Stepping Back After Preparing To Attack US Forces,Attack,Iran
"After years of decrying McCarthyism, Lindsey Graham accuses members of Congress of being Communists",accuses,members of Congress of being Communists
Russia Agrees To Free Nearly 100 Captive Whales,Agrees,Russia
"Woman Who Was Allegedly Beaten At Dominican Resort Demanded $2.2M Before Going Public, The Resort Said",Demanded,Woman
‘Anti-semitic rhetoric’ at Duke-UNC event prompts Rep. Holding to ask for federal probe,prompts,Duke-UNC event
They wanted a son so much they made their daughter live as a boy,wanted,
Jason Sudeikis Returns to 'SNL' to Portray Joe Biden in Sensitivity Training Sketch,Returns,Jason Sudeikis
Amanda Knox Returns To Italy For First Time Since Being Freed From Prison In 2011,Returns,Amanda Knox
"North Korea Tests A ‘New-Type Tactical Guided Weapon,’ State-Run Media Claims",Weapon,North Korea
Iowa High School Gives Students PE Credits For Helping The Elderly With Yard Work,,
The 'Wild West' of Weed Is Dying Out. Here's What's Replacing It,Dying Out,'Wild West' of Weed
"Homelessness among Michigan’s children: The problem is far larger, and more diverse, than you think",problem,
A U.S. Marine Looks Back at Fallujah,Back,
TV Actress Pleads Guilty In Bizarre Case Of Secretive Sex Cult,Guilty,TV Actress
"Money launderer, 67, convicted of £10million Jewish charities scam after going on the run",convicted,Money launderer
Baseball is the only sport that justifies optimism on Opening Day,optimism,Baseball
"Notre Dame Fire Could've Been Caused By A Cigarette, Prosecutors Say",Caused,Notre Dame
Study: Peppermint Helps the Meal Go Down,Helps,
GLAAD Poll: Young Americans Are Increasingly Uncomfortable With LGBTQ Culture,Uncomfortable,Young Americans
"Julian Castro spotlights housing, homelessness at labor forum for 2020 candidates",spotlights,Julian Castro
Funny Shots from the Archives of Iconic Photographer Martin Parr,Shots,
Insane video shows Viking Sky cruise ship thrown into chaos at sea,thrown into chaos at sea,Viking Sky
Lawmakers Introduce a Bipartisan Bill to Fix the IRS,Bill to Fix,Lawmakers
"Carpe Donktum says HuffPost is coming for him now, but he’s got a message for them",coming,Carpe Donktum
"Baton Rouge man arrested in child pornography probe; 100-plus images found, officials say",arrested,Baton Rouge
Getting Nostalgic About Segregationist Senators Isn’t “Moderate”,Nostalgic,
Arms Dealers and Lobbyists Get Rich as Yemen Burns,Arms,Dealers
"Antisemitic Incidents Surge in Berlin with over 1,000 Cases in 2018",Incidents,
Much of Notre Dame Cathedral's structure and artifacts miraculously survive the destructive fire,survive,
"To Remain Free, We Need To Deepen Our Understanding Of The Declaration",Remain Free,
"Sri Lankan Gov't Responds to Unprecedented Attacks with Surveillance, Social Media Blackout, Curfew",Attacks,Sri Lankan Gov't
Managers of Grade II-Listed Georgian mansion left their herd of fallow deer to starve to death,to starve to death,
Fear of immigration raids looms as plans for ICE ‘family operation’ move forward,Fear,
"Red States Could Lose Big Because of the Census, Rep. Mo Brooks Explains",Lose,Red States
Cricket World Cup: reserve day row after yet another washout,yet another washout,
Heavy rains in Japan cause deadly landslides and floods,deadly,Japan
Food stolen from thousands of hungry people,stolen,
"After letter from former undocumented employees, Trump feigns ignorance",ignorance,Trump
Fired Harvard Dean Ronald Sullivan: 'Unchecked Emotion Has Replaced Thoughtful Reasoning on Campus',Fired,Ronald Sullivan
Hundreds evacuated after WWII-era bomb found in Germany,evacuated,Hundreds
"July WTI oil gains 72 cents, or 1.2%, to settle at $58.63/bbl",gains,WTI oil
Trump order to make medical service costs more transparent,transparent,Trump
Street Clashes Erupt As Venezuela's Guaido Urges Uprising,Erupt,
Newsletter: Essential California Week in Review: A tragedy in Gilroy,tragedy,Newsletter
Beto O'Rourke busted by angry voter for accepting lobbyist money while claiming not to accept it,angry,Beto O'Rourke
Warren Rolls Out $7 Billion Plan to Boost Minority Entrepreneurs,Boost,Warren Rolls
An epidemic of body shaming is taking its toll on men’s mental health,shaming,
"Authentic Brands in talks with Meredith to buy Sports Illustrated, in deal valuing SI at about $110 mln--WSJ",,
Leon Panetta: Trump’s Foreign 'Dirt' Comments Are a ‘Violation of the Oath of Office’,Violation,Leon Panetta
"Washington Post Editorial Board Slams Sanders, Teachers Unions for Charter School Opposition",Slams,Washington Post Editorial Board
These are the 5 TV shows that both liberals and conservatives love,love,liberals
Horror as climber in his 50s plunges to his death while scaling the highest mountain in Ireland,Horror,
Beto 2.0: Campaign hires Obama MVP for delegate hunt,hires,Beto 2.0
Alexandria Ocasio-Cortez rips Steve King: ‘You were too racist even for’ Republicans,racist,Alexandria Ocasio-Cortez
Officials Say Gang Violence Suspected In Mass Shooting Outside Pa. Nightclub, Gang Violence,Officials
People Are So Floored By Blue Ivy’s Singing on Beyonce’s Surprise Album Homecoming They’re Joining the Ivy League,Floored,
‘It snuck up on us’: Scientists stunned by ‘city-killer’ asteroid that just missed Earth,stunned,Scientists
"Big news: AOC’s chief of staff, comms director to leave her office",leave,AOC’s chief of staff
"Deutsche Bank axe hovers over 1,000 clients",axe hovers,Deutsche Bank
16-Year-Old Girl Faces Child-Porn Charges for Making Video of Herself,Child-Porn,16-Year-Old Girl
Police find body in search for missing zoology graduate Rosie Johnson six days after disappearance,body,Police
The Release of Ivan Golunov and the Power of Collective Action in Russia,Release,Ivan Golunov
Ben Has Somehow Never Seen an Episode of Game of Thrones. Amanda Exposes His Hilarious Stupidity.,Game of Thrones,
Sisi says Egypt won’t accept anything against Palestinian wishes,won’t accept,Sisi
"'Holocaust' trends on Twitter after Ocasio-Cortez, Liz Cheney remarks on concentration camps",trends,Ocasio-Cortez
Poll: Democrats Increasingly Think DOJ Meddled in Mueller Probe,Increasingly,Democrats
"As Countries Seek Trade With China, Imprisoned Uyghur Muslim Community Has Become ""Collateral Damage""",Collateral Damage,China
"North Korea won’t give up all its nuclear weapons, former Defense Secretary Gates says",weapons,
These Horrifying Family Separation Cases Have All Happened Since Trump “Ended” the Policy,Horrifying Family Separation,Family
Maternal Obesity Linked to Childhood Cancer,Cancer,
"In Canada, insulin is a tenth of the price it is here—because our healthcare system is still broken.",still broken,
"British man, 37, arrested by Spanish police over a carjacking",arrested,British man
Srećko Horvat: ‘The current system is more violent than any revolution’,violent,
Jake Tapper laughs in Pence’s face: ‘We don’t have the cleanest air and water in the world’,laughs,Jake Tapper
Trump Administration Losing 94 Percent of Lawsuits Over Illegal Policy Changes,Losing,Trump Administration
Russian ship nearly collides with U.S. warship in Philippine Sea,collides,Russian ship
"Coalition Airstrikes in Raqqa Killed at Least 1,600 Civilians, More Than 10 Times U.S. Tally, Report Finds",Killed,
Atheist group complains 'God bless America' is said at elementary school after daily pledge. District quickly falls in line.,complains,Atheist group
Study: Smoking During Pregnancy Increases Obesity Risk of Baby,,Baby
The Loudest Voice Stars A Very Simple Monster,Stars,
Appeals court grants Trump administration win to snub ‘sanctuary cities’,grants,Trump administration
IMF gives Mozambique $118 million for Cyclone Idai rebuilding,gives,IMF
The House Just Voted to Raise the Minimum Wage to $15,Raise,House
Black Hole Given the Hawaiian Name ‘Powehi.’ Here’s What That Means,Given,Black Hole
California becomes the first state to make hair discrimination illegal,illegal,California
Ocasio-Cortez says some communities in the US have 'no choice' but to riot,riot,Ocasio-Cortez
Iran crisis: A tale of two tankers,crisis,Iran
"World War One fanatic's collection of bombs and shells is set to fetch £5,000 at auction",fanatic's collection of bombs and shells,
Angiogenesis Foundation President And CEO Dr. William Li's EAT TO BEAT DISEASE Achieves New York Times Bestseller Status,Achieves,Dr. William
Brooks: 'A Lot of People Got Out Ahead of the Evidence' on Collusion - Trump Isn't Exonerated,Exonerated,Brooks
Daughter of Army vet who died at Dominican resort: Funeral home 'pressured' me to make a decision about my father's remains,'pressured',Daughter of Army
USA Today Sports Attacks on 'Raging' Trump Appear To Be Coordinated Media Campaign,Attacks,
"Nasdaq on track for best monthly gain, up 5.4%, since January",gain,Nasdaq
Toddler Diagnosed With Rare Ovarian Cancer Is Now Cancer-Free,Diagnosed,
STUNNING: Boeing’s 737 Max Software Outsourced to $9-an-Hour Engineers from Indian Software Developer,STUNNING,
"Judiciary Committee votes to hold Barr in contempt, Nadler declares “constitutional crisis”",contempt,Judiciary Committee
"White House expects retaliation from China, stresses ongoing talks",expects retaliation,White House
Bernie Sanders Fox News town hall draws more than 2.55 million,draws,Bernie Sanders
Justice Thomas Issues Fiery Condemnation of Eugenic Abortion,Condemnation,Justice Thomas
Democrats Ponder How to Avoid a Climate Debate,Ponder,Democrats
Today’s back pages: Oh Nou! United blown away by a Barcelona and Messi masterclass,blown,United
A ‘fantasy’: Medieval scholars educate white nationalists on their ‘pure white Europe’ claims,educate white nationalists,Medieval scholars
Private Group Pledges Nearly $10 Million to Gun Research,Pledges,Private Group
‘Try again’: NowThis’ attempted gotcha on Alabama anti-abortion law ‘might be the dumbest comparison I have ever seen’,dumbest,
"Jordan Klepper, Wyatt Cenac, and the Citizen Journalism of Class Clowns Made Good",Good,
Woman Pays Dinner Bill For Group Of Teens On Prom Night,Pays,Woman
Zero Elephants Killed By Poachers In Over A Year At One Of Africaand#039;s Largest Wildlife Preserves,Zero Elephants Killed,
Facebook Emails Reveal That Mark Zuckerberg Doesn’t Care About Your Privacy,Care,Mark Zuckerberg
Julián Castro calls Trump Jr a ‘coward’ over racist attack on Kamala Harris,coward,Julián Castro
College Costs Are Out of Control. Here’s What Can Be Done.,Out of Control,
Two riders injured in Port Allen after horses struck by truck,injured,
The richest country in the world,richest,richest
US hiring bounces back in March but wage growth cools,cools,US
China Is Burning Away Its Ecological Future,Burning,
"Dutch police arrest Syrian suspected of war crimes, terror",arrest,Dutch police
Hospital Staff Helps Teens Go To Prom After Car Accident,Helps,Hospital Staff
A day at the beach could get a bit more expensive. L.A. County is voting on fee hikes,expensive,
Dozens of Business Leaders Advocate Abortion Access: ‘Don’t Ban Equality’,Abortion,
A second mass shooting erupts in Ohio. Shooter identified,erupts,Ohio
Mario Lopez Attacked for Saying Parents Shouldn't Let Their Children Choose Genders,Attacked,Mario Lopez
Netanyahu's future clouded by rivalry with former ally,clouded,Netanyahu's
Sanders to Ryan on Medicare for All: 'I wrote the damn bill',damn,Sanders
The benefit workers want most is less work,most,
Poll: Warren Viewed Unfavorably by 46 Percent of Massachusetts Voters,Unfavorably,Warren
"Setting Precedent, A Federal Court Rules Jail Must Give Inmate Addiction Treatment",Treatment,
"For Women of Colour, Family Shame Can Make Abortions Traumatic",Shame,Women of Colour
"Marijuana battles turn ugly in one California city: Fistfights, nasty accusations and questions",ugly,
"Wimbledon 2019: On a Day When Serena Williams Didn’t Have It, Simona Halep Had It All",All,Serena Williams
Robert Mueller Has Completed His Investigation Into Donald Trump and Russia,,
American Dark Money Is Fueling the Rise of Europe’s Far Right,Fueling,American Dark Money
Joe Biden: Build 'James Bond-Style' Guns That Don't Fire Without DNA Match,Guns,Joe Biden
Immigration Officials Use Secretive Gang Databases to Deny Migrant Asylum Claims,Deny,Immigration Officials
Rescue team search for British man who vanished after taking a jet ski out to sea in Tenerife,vanished,Rescue team
Trump’s Bank Appears Willing to Cooperate With Investigation Against Him,Investigation,Trump
"Rep. Clyburn disappointed by Kamala Harris, believed it was 'the year of the black woman'",disappointed,Rep. Clyburn
Teflon Toxin Safety Level Should Be 700 Times Lower Than Current EPA Guideline,700 Times Lower,
Congressional Leaders to Start Budget Talks with White House Next Week: Report,,Congressional Leaders
Watchdog orders energy companies to reduce their price rises,orders,Watchdog
Callidus Capital Announces Liquidity and Recapitalization Arrangements and Provides Update on Timing of Release of Financial Statements,Announces,Callidus Capital
AF Units Ordered to Take Day to Address Increased Suicides,Ordered,AF Units
Libya's Sarraj calls for elections in 2019 to end war,end war,Libya's Sarraj
Dow takes 700-point nosedive as trade war escalates,nosedive,Dow
"Candidates of a certain age, &c.",,
US resident freed by Iran to Trump: 'Get back your hostages',freed,US resident
Trump's evolving remarks on Russian election interference,Russian election interference,
Here’s how economists are blocking progress on climate change,blocking,economists
From Biggie to Kendrick Lamar: outtakes from hip-hop’s most iconic,outtakes,Biggie
Finland's new generation of climate heroes,heroes,Finland
California synagogue rabbi injured in shooting: 'Terror will not win',injured,
"Far-Right Groups Embrace ‘Straight Pride Parades’ to Win Recruits, Media Attention",Pride,Far-Right Groups
Poll: John Bel Edwards Vulnerable in Louisiana,Vulnerable,John Bel Edwards
Pat Gray: We are one step closer to '1984',closer,Pat Gray
Warren Unveils Plan For $1 Trillion In New Taxes On Big Corporations,,
You’ve heard stories of Indian Army and Air Force heroes. Now here’s an angel from the Navy,here’s an angel,Indian Army
Cape Town - tourist hotspot where eight people are murdered a day,hotspot,
Donald Trump’s downward spiral has pushed the GOP to its breaking point,breaking,Donald Trump
"Boris Johnson for Prime Minister, and Other Ways that the Brexit Mess Could Get Even Worse",Worse,Boris Johnson
Redskins pick-by-pick draft analysis: Bryce Love joins crowded backfield; Washington adds depth on offensive line,joins,Bryce Love
Bill Gates reveals the biggest mistake of his career,mistake,Bill Gates
Puerto Rico Enters Uncharted Territory as Ricardo Rosselló Prepares to Resign as Governor,Resign,Puerto Rico
The City where you can change your gender... at the click of a single button,change your gender,
The Atlantic: Sure looks like MH-370 disappearance was pilot suicide,suicide,
Here’s How Many Assault-Style Weapons Have Been Returned In New Zealand,,
What’s Fact and What’s Fiction in Fosse/Verdon Episode 3,Fiction,
Japan-South Korea feud threatening global chip supply,Japan-South Korea feud threatening global chip supply,
Stand Up to Anti-Semitism and Historical Revisionism. Because Truth Matters.,Stand Up,
"Putin, Xi, Assad, and Maduro vs. the American Hegemon",vs,"Putin, Xi, Assad, and Maduro"
Brian Williams Interrupts Barr Hearing to Call Lindsey Graham a Liar,Interrupts,Brian Williams
Don Lemon Admits AOC Faked Black Accent,Admits,Don Lemon
Target upgraded to equal weight at Morgan Stanley,,
"Trump suddenly reverses course on Iran, says there is ‘no indication’ of threats",‘no indication’ of threats,Trump
Racist Voter Suppression Made Alabama’s Abortion Ban Possible,Racist Voter Suppression,
Kindergarten Cop actor is arrested for public intoxication in Alabama,arrested,
"Jealous Massachusetts teen found guilty of killing, beheading classmate",guilty,teen
"When Nekhidia Harris was born, doctors didn't think she would live past 3 days — now she's a college grad",grad,Nekhidia Harris
Pence Dodges Questions About Poor Conditions At Child Migrant Centers,Dodges,Pence
The 30 most popular products from last year's Amazon Prime Day — including the ones that surprised us,surprised,
Hong Kong protests: Police use tear gas on protesters,protests,Hong Kong
Harris Releases ‘Medicare for All’ Plan That Allows for Limited Private Insurance,Medicare for All,
Kennedy Granddaughter Found Dead at Family’s Hyannis Port Compound After Apparent Drug Overdose,Dead,Kennedy Granddaughter
Board president threatens to yank management contract for Advantage charter school in Baker,threatens,Board president
Hogan Gidley: McAleenan Will Do 'Great Job' as Nielsen's Replacement,Great Job,Hogan Gidley
Farage Makes Trumpian Trouble With His New Brexit Party,Trouble,Trumpian
Needless Government Meddling Is Making An Amazing New Cancer Treatment Harder To Get,Meddling,Government
The 5 Best Songs of the Week to Listen to Now,Best,
Koch Network Willing to Back Dem. Candidates In 2020,Willing,Koch Network
DIY penis enlargements are a 'nationwide problem' in Papua New Guinea,problem,Papua New Guinea
WTI oil futures settle at highest since June 7,highest,WTI
Dollar depressed ahead of U.S. jobs data,depressed,
"Trump lashes out at Central America, Mexico on border",lashes,Trump
The Green New Deal Will Hit the Poor With Higher Energy Costs,Hit,
Trump Asserts Executive Privilege to Block Release of Full Mueller Report,Block Release,Trump
"In camp of diehard IS supporters, some women express regrets",regrets,women
Turkey's Latest Incitement Can't Go Unanswered,Incitement,
Justice for Layleen Polanco: Community Demands Answers After Trans Black Latinx Woman Died at Rikers,Justice,Layleen Polanco
Girlfriend of man accused of luring girl into abandoned home says he is caring,accused,Girlfriend
Marianne Williamson reaches donor threshold for Dem debates,reaches,Marianne Williamson
Team Trump has found a news outlet even more fawning than Fox News,found,Team Trump
Problematic Women: Free College for Everyone!,Problematic,
SHAMELESS: Cam Edwards calls TIME magazine out for trying to spin CO vigil student walk-out,calls,Cam Edwards
"Near the Comite, people who flooded in 2016 anxious about Hurricane Barry river forecasts",flooded,Comite
The SEC revealed the punishment it wants Elon Musk to face if he violates the terms of their settlement in the future (TSLA),punishment,
Hilarious! President Trump: I wanted to Kiss My General Who Defeated ISIS But “I Went to Kiss the General And I Felt Like Joe Biden”,Hilarious,President Trump
El Bus TV: News bulletins on the bus in Venezuela,bulletins,El Bus TV
Dan Crenshaw RIPS into Google execs at hearing for labeling Ben Shapiro a Nazi,labeling,Dan Crenshaw
5 cool online startups that drop new products every single week of the year,drop new products every,5 cool online startups
The Republican who endorsed impeachment just demolished his party’s embarrassing defense of Trump,demolished,The Republican
Ninth Circuit Temporarily Permits Trump Administration’s ‘Wait-In-Mexico’ Policy To Remain In Place,Permits,
Oil prices little changed despite U.S. crude stock draw,changed,Oil prices
Swedish Vegans on Trial for Starving Two-Year-Old Daughter,Starving,Swedish Vegans
Uh oh: New WaPo/ABC poll puts abortion support at generational high,,
Julian Assange dragged from Ecuadorian embassy,dragged,Julian Assange
U.S. judge suspends Blackstone lawsuit against Italy’s RCS over Milan HQ,suspends,U.S. judge
Mueller Report Details Trump’s Attempts to Influence Probe,Influence,Mueller
"'Stinks, Complete Idiot, Pathetic': Morning Joe Hurls Insults at Trump",Insults,Morning Joe Hurls
Ilhan Omar in Her Own Words: I Know What Hate Feels Like,Hate,Ilhan Omar
Katarina Johnson-Thompson smashes her personal best to win heptathlon,smashes,Katarina Johnson-Thompson
This Video Reveals The Absurdity of The Russian Witch Hunt,Absurdity,
Drunk driver busted when cops find gas pump nozzle attached to Range Rover,busted,Drunk driver
What disasters reveal about mental-health care,disasters,
Raw Data: Workers Earning Minimum Wage,Minimum Wage,
"Trump administration announces new Iran sanctions, won’t explain what U.S. allies think",Trump,
Storms in America and the Pacific are evidence of climate change,climate change,
Scientists Restore Some Function In The Brains Of Dead Pigs,Restore,Scientists
Trump: ‘2 weeks and big Deportation begins!’,Deportation,Trump
The Kickstarter for politics wanted to change how political fundraising worked. Now it’s dead.,dead,The Kickstarter
The Radicalization of Fiona Scott Morton,Radicalization,
COMING SOON: Samantha Power’s Unmasking Campaign Linked to Obama’s Deep Hatred of Israel,Unmasking,Samantha
Hundreds Of Thousands Of Hong Kong Protesters Demand Leader's Resignation,Protesters,Hong Kong
Homelessness rises in Argentina's capital amid crisis,rises,
Chelsea Manning Warns That Trump Will Go After Journalists With “Indictments and Charges”,Warns,Chelsea Manning
Trump Asked If U.S. Is Going To War With Iran. Here's His Response.,War,Trump
Eating Fish May Help City Kids With Asthma Breathe Better,Help,
What the Space Age taught us: Earth is the best planet out there,best,
Bernie Sanders Is Right to Go on Fox News,Right,
"No, Rashida Tlaib Is Definitely Not Antisemitic",Antisemitic,Rashida
Operation Pennsylvania: Why the Keystone State will be make or break Trump’s reelection campaign,break,Trump’s
The terrifying William Barr answer that everyone overlooked,terrifying,William Barr
3 Killed as Cliff Collapses on Popular California Beach,Killed,
"Church Raises $100,000 To Pay Off College Debt For 34 Students",Pay,Church
Everything We Know About the 2019 iPhone,Everything,iPhone
"Dayton Police Officers Run Toward the Fire, Take out Shooter",Run Toward the Fire,Dayton Police Officers
New report finds same-day voter registration laws produce a sizable boost in voter turnout,sizable boost,
Powerlifter Lifts 2-Ton SUV Off Man Trapped Underneath,Trapped,
Solitary confinement isn’t effective. That’s why New Jersey lawmakers are trying to restrict it.,restrict,
Dayton Mayor Mocks Trump: 'He Might Be Going to Toledo',Mocks,Dayton Mayor
Underdog 'Reggae Girlz' Make History at Women's World Cup,Make,Reggae Girlz
AG Barr Orders First Federal Executions Since 2003. Here Are The First 5 People In Line.,Executions,AG Barr
People Are Lambasting Fox News For That ‘3 Mexican Countries’ Mistake,,
Democratic Presidential Candidates Endorse Pro-life House Democrat’s Primary Challenger,Endorse,Democratic Presidential Candidates
There’s No End to Jimmy Kimmel’s Torment of Matt Damon and He Just Upped the Ante,No End,Jimmy Kimmel
Key Moments From Robert Mueller’s Congressional Testimony,Key Moments,Robert Mueller
Separate militant attacks kill nearly 50 Syrian soldiers,kill,50 Syrian soldiers
Barack Obama warns against a “circular firing squad” over ideological purity in politics,against,Barack Obama
Ginni Thomas Plans New Conservative Supergroup to “Protect President Trump”,Protect,Ginni Thomas
S. Korea proposes UN probe over Japanese sanctions claims,sanctions,S. Korea
Trump Signs Executive Order Placing ‘Hard-Hitting’ Sanctions On Iran,Signs,Trump
"Trump Slaps Back ‘Fake’ Reports, Delivers Details On New Agreement With Mexico",Slaps,Trump
"Student who told teacher there are only 'two genders' now facing harsh punishment from school, report says",harsh punishment from school,Student
"FRANKEL: Reflecting Upon Passover, We Jews Need To Make An Exodus Of Our Own",Reflecting,FRANKEL
"'Gift from God,' and other reasons why rape is not rape according to Republicans",rape,Republicans
Manchester City accuse Uefa of leaks amid Champions League ban threat,accuse,Manchester City
Jerks Landed a Helicopter on California's Wildflower Super Bloom,Jerks,Jerks Landed
Trump Condemns White Supremacy in Wake of El Paso Shooting,Condemns,Trump
Rupert Murdoch and Roger Ailes Gave Us Fox. These Shows Try to Make Sense of It All.,Sense,Rupert Murdoch and Roger Ailes
"Trump Thinks His Critics Are Traitors, and They Sling the Charge Back at Him",Traitors,Trump
May warned indicative votes will leave UK with 'Auf Wiedersehen Pet' Brexit that 'no one wants',warned,May
Man Freaks Out in Bagel Shop Because Women on Dating Sites Don’t Like Short Guys,Freaks,
Gen X Is The Best Mess Ever,Best,Gen X
Europe failed to act after the 2003 French heatwave. We cannot ignore this one | Ruben Hallali,failed,
"Farage's Brexit Party Smashes 100,000 Registered Supporters Target, Aims to Pass Tory Party",Smashes,Farage's Brexit Party
OOPSIE DAISY! Alyssa Milano’s tweet wasn’t the DUNK on American gun owners she thought it was and ROFL,DUNK,Alyssa Milano’s
Liz Cheney Goes All-In on Trump’s Racism: Meet the Future of the GOP,Racism,Liz Cheney
"Premier League transfer news: Hazard, Guardiola, Insigne, Eriksen, Sancho",transfer news,Premier League
6-year-old boy hospitalized after dingo attack in Australia,attack,
Trump Is Upset This Infowars ‘Thinker’ Got Banned From Facebook. Here's What He Thinks,Upset,Trump
Google Searches For Ways To Put Artificial Intelligence To Use In Health Care,Searches,Google
Dear Parents: The Internet Never Forgets,,
Russia Is Tricking GPS to Protect Putin,Tricking,Russia
A Republican senator actually just called out Trump’s hypocritical order on campus ‘free speech’,hypocritical,A Republican senator
"Jeffrey Epstein Abused Victims While Serving Time in Florida, Accuser’s Lawyer Says",Abused,Jeffrey Epstein
Hawkish Democrat Rep. Eliot Engel Is Facing Two Primary Challengers,Facing,Eliot Engel
"Pelosi, Hoyer Say Impeachment Is Off The Table, Leaving Democrats Crushed",Impeachment,Pelosi
"The Weakness of the ""Whiteness"" Literature",Whiteness,
Armed robber who held up gas station wearing Teenage Ninja Turtles mask,Armed robber,
"Red Cross ready to aid Venezuela, warns against politics",warns,
"Iran: US Pressure on Iran, Venezuela Threatens Oil Market",Pressure,Iran
"U.S. blames Iran for tanker attacks in Gulf of Oman, oil prices rise",blames,U.S.
Egypt’s Prisons Are Becoming Recruiting Grounds for the Islamic State,Recruiting Grounds for the Islamic State,
"Sorry Taylor Swift, Those Are the Cookies You Bake For Your Enemies",Enemies,Taylor Swift
Young girl's disappearance still unsolved 16 years after she vanished while walking to bus stop,disappearance,Young girl's
JANET STREET-PORTER Sorry Boris but fat people are costing the NHS as much as smokers,fat people are costing the NHS as much as smokers,JANET STREET-PORTER
"When This Mailman Retired, The Entire Neighborhood Threw Him A Party Heand#039;ll Never Forget",Party,Mailman
India’s oldest e-commerce firm’s IPO is a rare way out for investors,rare,
Mueller Refused To Deny His Team Leaked Roger Stone’s FBI Raid To CNN,Refused,Mueller
Pentagon to 'loosen the rules' on troops at the southern border,loosen,Pentagon
Meet the Underground Feminist Group That Provided Abortions Before “Roe”,Abortions,Feminist Group
Mexico reels from shooting attack in El Paso,reels,Mexico
It sure looks like Trump is subverting the succession process to put a loyalist in charge of intel,subverting,Trump
L.A. County health officials warn of measles exposure at Westside shops,warn,
Here’s How Scientists Plan to Watch Supermassive Black Hole Collisions,Plan,Scientists
Florida man describes 'shocking' alligator attack on 5-year-old granddaughter in lake,shocking,Florida man
Biden Hardens China Stance: U.S. Needs to ‘Get Tough’ on Beijing,Needs,China
Europe’s Dream: Escaping the Dictatorship of the Dollar,Escaping,Europe’s
Darwin’s Finches Are In Danger Because a Parasite Is Changing Their Mating Song,Danger,Darwin
Rep. Ilhan Omar calls overcrowding at El Paso border ‘a reflection of white nationalism’,overcrowding,Ilhan Omar
Ford and VW to share costs on electric and self-driving cars,share costs,
Attorney General Bill Barr is now in possession of the Mueller report — and could send parts of it to Congress this weekend,possession,Attorney General Bill Barr
Georgia governor dismisses Hollywood threats on eve of pro-life 'heartbeat' bill signing,dismisses,Georgia governor
Celebrating the Texts of Those ‘Dead White Males’,Celebrating,
St. Louis Prosecutor Wesley Bell Launches Independent Unit to Hold Police Accountable,Hold,Police
"Column: At L.A. City Hall, incompetence and corruption are close cousins",corruption,
Syrian State Media: Projectiles Fired From Israeli Territory,Fired,
Boris Johnson’s Luck Is About to Run Out,Boris,
"11,000 Americans Will Die Waiting for Transplants This Year",Die,
Israel strikes Gaza targets in response to Palestinian heavy rocket fire,targets,Israel
More Chinese fentanyl may stay out of the US under a new bipartisan bill,bipartisan,Chinese
Nasty Jon Stewart: McConnell Treats 9/11 Responders Like 'Political Pawns',Nasty,Jon Stewart
Boko Haram: A decade of terror explained,terror,
The Toronto Raptor superfan who's not Drake,superfan,
Syrian refugee arrested for alleged ISIS terror plot to attack Christian church in Pittsburgh,arrested,Syrian refugee
"Washington, Montana, Vermont top new list for most UFO sightings",new,
New Mexico militia detains migrants at gunpoint in social media,detains,Mexico
"People say they hate traffic jams, but are oddly tolerant of them",hate,People
Mexican Researcher Creates Plastic From Cactus That Is Biodegradable And Safe To Ingest,Creates,Mexican Researcher
Yields on 10-year Treasury note settle below 2% ahead of U.S.-China trade meeting,,
"'Pharma Bro' Martin Shkreli Loses Appeal, Will Stay In Prison",Loses,Pharma Bro' Martin Shkreli
"July WTI oil drops $2.22, or 3.8%, to settle at $56.59/bbl on Nymex",drops,WTI
Netflix vows to work with ACLU in fight against draconian Georgia anti-abortion law,fight against draconian Georgia anti-abortion law,Netflix
Originality And Uncertainty Still Reign As 'Black Mirror' Enters Its 5th Season,Originality And Uncertainty,
Hypocritical New York Times Mocks Trump Summit of ‘Right-Wing Social Media Trolls’,Mocks,Hypocritical New York Times
Justin Amash on Quitting the Republican Party: 'It's Nice to Be Happy and Free',Happy,Justin Amash
Meghan Markle Had Very Specific Photography Standards for Her Guest-Edited British Vogue Issue,Specific Photography Standards,Meghan Markle
World's best restaurant for 2019 is a surprise,surprise,
California Parents Get Life In Prison For Starving And Shackling Their Children,Starving And Shackling Their Children,Children
I'm a Celebrity queen Georgia Toffolo 'dating' shamed banker and ex-Farage aide,shamed,
The Village Where Every Cop Has Been Convicted of Domestic Violence,,
